"";"created_at";"screen_name";"text"
"21";2019-09-03 03:03:03;"KontanNews";"Daftar nama korban kecelakaan di jalan tol Purbaleunyi  https://t.co/IJuqk42pDc #Kecelakaan"
"22";2019-09-03 04:46:02;"KontanNews";"Olah TKP kecelakaan di jalan tol Purbaleunyi dilakukan sekitar 2 jam https://t.co/0iSj6dftp7 #Kecelakaan"
"23";2019-09-04 05:03:03;"KontanNews";"Warga Korsel korban kecelakaan di jalan tol Purbaleunyi memilih pulang ke negaranya https://t.co/6qBRGDIJoE #Kecelakaan"
"24";2019-09-07 01:18:02;"KontanNews";"Banyak makan korban, ini upaya pemerintah soal perlintasan sebidang https://t.co/PdwSA0VPFa #Kecelakaan"
"25";2019-09-04 05:04:02;"KontanNews";"Warga Korsel korban kecelakaan di jalan tol Purbaleunyi memilih pulang ke negaranya https://t.co/6qBRGDr8x6 #Kecelakaan"
"26";2019-09-06 23:41:04;"info_nagreg";"@RadioElshinta sekitar jam 6 baru saja saya lewat turunan Nagreg, Avanza Nabrak tebing hindari motor. Petugas belum ada di lokasi 
#Garut #Kecelakaan #Nagreg https://t.co/5F8qtzncXm"
"27";2019-09-06 23:23:34;"SantriNoesantra";"@RadioElshinta sekitar jam 6 baru saja saya lewat turunan Nagreg, Avanza Nabrak tebing hindari motor. Petugas belum ada di lokasi 
#Garut #Kecelakaan #Nagreg https://t.co/5F8qtzncXm"
"28";2019-09-05 02:28:13;"tribunkaltim";"https://t.co/D3w4jWYfb5
#tolCipularang  #kecelakaan #kecelakaancipularang  #kecelakaantolcipularang  #kecelakaanberuntun #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"29";2019-09-02 23:12:35;"tribunkaltim";"https://t.co/9iDf0GglLF
#TolCipularang  #KecelakaanCipularang  #kecelakaanberuntun  #Kecelakaan  #KecelakaanMaut #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"30";2019-09-06 22:26:16;"tribunkaltim";"https://t.co/6vXx6VGxgO
#Kecelakaan #Bintaro #kecelakaanberuntun #kecelakaanbintaro #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"31";2019-09-03 06:26:23;"tribunkaltim";"https://t.co/HXzporTnOC
#kecelakaanberuntun  #KecelakaanCipularang  #Kecelakaan  #Kecelakaan #Cipularang #TolCipularang #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"32";2019-09-04 23:37:38;"tribunkaltim";"https://t.co/V6xpak277V
#kecelakaancipularang  #kecelakaantolcipularang  #kecelakaanberuntun  #kecelakaan  #Cipularang  #tolCipularang #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"33";2019-09-02 22:11:21;"tribunkaltim";"https://t.co/0f0dJW1T6N
#TolCipularang  #Cipularang  #KecelakaanCipularang  #Kecelakaan  #kecelakaanberuntun  #KecelakaanMaut #Jabar #JawaBarat #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"34";2019-09-03 02:51:38;"tribunkaltim";"https://t.co/cjcLQwjS3S
#Cipularang  #TolCipularang  #KecelakaanCipularang  #Kecelakaan  #kecelakaanberuntun  #KecelakaanMaut #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"35";2019-09-03 03:51:14;"tribunkaltim";"https://t.co/YvTTjwbBtx
#Cipularang  #TolCipularang  #KecelakaanCipularang  #Kecelakaan  #kecelakaanberuntun  #KecelakaanMaut #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
